difficulty_level,level_name,feature_type,model,seed,fold,auc,mean_neg_dist_bio,n_unique_negatives,n_sampled,replacement_used,is_anchor
2,very_easy,sequence,rf,2,1,0.9093186456555924,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,2,2,0.9206594840566134,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,2,3,0.8805795306688534,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,2,4,0.8957905522678322,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,3,0,0.8920892494929007,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,3,1,0.8672340603500553,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,3,2,0.8802951912129127,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,3,3,0.882440096264518,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,3,4,0.8734275677484108,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,3,0,0.9356977060287321,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,3,1,0.9089897743669099,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,3,2,0.9219241845824124,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,3,3,0.9249136758396985,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,3,4,0.9192162930746071,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,3,0,0.8416595219673366,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,3,1,0.796399071537609,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,3,2,0.8083350077020963,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,3,3,0.8114889609710159,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,3,4,0.8166109066577449,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,3,0,0.9139332092595303,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,3,1,0.8965935467681563,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,3,2,0.9025056928537941,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,3,3,0.9124955529978027,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,3,4,0.8978295416527267,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,4,0,0.9011049238351441,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,4,1,0.8640836820083682,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,4,2,0.8894870025304807,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,4,3,0.8778944551085016,4.43523,4886,2445,False,False
2,very_easy,biophysical,lr,4,4,0.8555958037745952,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,4,0,0.9368005321708135,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,4,1,0.9187866108786611,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,4,2,0.9430118995336387,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,4,3,0.9183467784092573,4.43523,4886,2445,False,False
2,very_easy,biophysical,rf,4,4,0.9037988555748896,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,4,0,0.8148865580848544,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,4,1,0.8089037656903766,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,4,2,0.8309722483635527,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,4,3,0.7987169675603565,4.43523,4886,2445,False,False
2,very_easy,sequence,lr,4,4,0.780614208271985,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,4,0,0.917346174603905,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,4,1,0.9020041841004184,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,4,2,0.9157078026643245,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,4,3,0.9033752786246293,4.43523,4886,2445,False,False
2,very_easy,sequence,rf,4,4,0.8920325257662963,4.43523,4886,2445,False,False
3,easy,biophysical,lr,0,0,0.8198242677824269,3.371902,4891,2445,False,False
3,easy,biophysical,lr,0,1,0.846599543675298,3.371902,4891,2445,False,False
3,easy,biophysical,lr,0,2,0.7736150411871974,3.371902,4891,2445,False,False
3,easy,biophysical,lr,0,3,0.8301937297152607,3.371902,4891,2445,False,False
3,easy,biophysical,lr,0,4,0.8247949233864726,3.371902,4891,2445,False,False
3,easy,biophysical,rf,0,0,0.8792050209205021,3.371902,4891,2445,False,False
3,easy,biophysical,rf,0,1,0.9003328239800724,3.371902,4891,2445,False,False
3,easy,biophysical,rf,0,2,0.8310968580351716,3.371902,4891,2445,False,False
3,easy,biophysical,rf,0,3,0.8766896978619467,3.371902,4891,2445,False,False
3,easy,biophysical,rf,0,4,0.8819904876242903,3.371902,4891,2445,False,False
3,easy,sequence,lr,0,0,0.7496652719665271,3.371902,4891,2445,False,False
3,easy,sequence,lr,0,1,0.7845393841709754,3.371902,4891,2445,False,False
3,easy,sequence,lr,0,2,0.6889391938627931,3.371902,4891,2445,False,False
3,easy,sequence,lr,0,3,0.7393390102720246,3.371902,4891,2445,False,False
3,easy,sequence,lr,0,4,0.7433624616723208,3.371902,4891,2445,False,False
3,easy,sequence,rf,0,0,0.8631380753138076,3.371902,4891,2445,False,False
3,easy,sequence,rf,0,1,0.8886944508404329,3.371902,4891,2445,False,False
3,easy,sequence,rf,0,2,0.8182313609591481,3.371902,4891,2445,False,False
3,easy,sequence,rf,0,3,0.8798348780406197,3.371902,4891,2445,False,False
3,easy,sequence,rf,0,4,0.8802921478977819,3.371902,4891,2445,False,False
3,easy,biophysical,lr,1,0,0.853856908445516,3.371902,4891,2445,False,False
3,easy,biophysical,lr,1,1,0.8654118828031871,3.371902,4891,2445,False,False
3,easy,biophysical,lr,1,2,0.8349176344634632,3.371902,4891,2445,False,False
3,easy,biophysical,lr,1,3,0.7783499332795107,3.371902,4891,2445,False,False
3,easy,biophysical,lr,1,4,0.7847431518317595,3.371902,4891,2445,False,False
3,easy,biophysical,rf,1,0,0.9013210769539883,3.371902,4891,2445,False,False
3,easy,biophysical,rf,1,1,0.9045444088922349,3.371902,4891,2445,False,False
3,easy,biophysical,rf,1,2,0.8871347499341325,3.371902,4891,2445,False,False
3,easy,biophysical,rf,1,3,0.8420083913041659,3.371902,4891,2445,False,False
3,easy,biophysical,rf,1,4,0.8337979706650591,3.371902,4891,2445,False,False
3,easy,sequence,lr,1,0,0.7571662983055388,3.371902,4891,2445,False,False
3,easy,sequence,lr,1,1,0.7805132066001632,3.371902,4891,2445,False,False
3,easy,sequence,lr,1,2,0.7507747253436602,3.371902,4891,2445,False,False
3,easy,sequence,lr,1,3,0.7101026115110621,3.371902,4891,2445,False,False
3,easy,sequence,lr,1,4,0.7007735583684951,3.371902,4891,2445,False,False
3,easy,sequence,rf,1,0,0.8978258321612752,3.371902,4891,2445,False,False
3,easy,sequence,rf,1,1,0.8897546897546897,3.371902,4891,2445,False,False
3,easy,sequence,rf,1,2,0.8847551616990845,3.371902,4891,2445,False,False
3,easy,sequence,rf,1,3,0.8363988504833575,3.371902,4891,2445,False,False
3,easy,sequence,rf,1,4,0.8416130868662515,3.371902,4891,2445,False,False
3,easy,biophysical,lr,2,0,0.8657526217738054,3.371902,4891,2445,False,False
